Common name,Scientific name,Status,No.,No. Back
Lake Duck,Oxyura vittata,,3,0
Blue-billed Duck,Oxyura australis,,3,0
Maccoa Duck,Oxyura maccoa,,3,0
White-headed Duck,Oxyura leucocephala,,5,3
Musk Duck,Biziura lobata,,17,5
Australian Brushturkey,Alectura lathami,,28,9
Wattled Brushturkey,Aepypodius arfakianus,,3,0
Waigeo Brushturkey,Aepypodius bruijnii,,0,0
Red-billed Brushturkey,Talegalla cuvieri,,6,4
Black-billed Brushturkey,Talegalla fuscirostris,,20,5
Collared Brushturkey,Talegalla jobiensis,,20,4
Malleefowl,Leipoa ocellata,,8,4
Maleo,Macrocephalon maleo,,7,1
Moluccan Megapode,Eulipoa wallacei,,6,0
Tongan Megapode,Megapodius pritchardii,,14,0
Micronesian Megapode,Megapodius laperouse,,7,0
Nicobar Megapode,Megapodius nicobariensis,,2,0
Philippine Megapode,Megapodius cumingii,,19,7
Sula Megapode,Megapodius bernsteinii,,5,0
Tanimbar Megapode,Megapodius tenimberensis,,1,0
Dusky Megapode,Megapodius freycinet,,42,17
Biak Scrubfowl,Megapodius geelvinkianus,,9,0
Melanesian Megapode,Megapodius eremita,,12,2
Vanuatu Megapode,Megapodius layardi,,3,0
New Guinea Scrubfowl,Megapodius decollatus,,6,0
Orange-footed Scrubfowl,Megapodius reinwardt,,76,57
Plain Chachalaca,Ortalis vetula,,96,56
Grey-headed Chachalaca,Ortalis cinereiceps,,43,12
Chestnut-winged Chachalaca,Ortalis garrula,,45,8
Rufous-vented Chachalaca,Ortalis ruficauda,,53,16
Rufous-headed Chachalaca,Ortalis erythroptera,,50,23
Rufous-bellied Chachalaca,Ortalis wagleri,,55,89
West Mexican Chachalaca,Ortalis poliocephala,,45,45
Chaco Chachalaca,Ortalis canicollis,,102,119
White-bellied Chachalaca,Ortalis leucogastra,,20,3
Speckled Chachalaca,Ortalis guttata,,115,129
East Brazilian Chachalaca,Ortalis araucuan,,22,9
Scaled Chachalaca,Ortalis squamata,,17,1
Colombian Chachalaca,Ortalis columbiana,,125,53
Little Chachalaca,Ortalis motmot,,46,27
Chestnut-headed Chachalaca,Ortalis ruficeps,,4,0
Buff-browed Chachalaca,Ortalis superciliaris,,12,2
Band-tailed Guan,Penelope argyrotis,,53,8
Bearded Guan,Penelope barbata,,27,11
Baudo Guan,Penelope ortoni,,14,1
Andean Guan,Penelope montagnii,,130,27
Marail Guan,Penelope marail,,18,2
Rusty-margined Guan,Penelope superciliaris,,45,3
Red-faced Guan,Penelope dabbenei,,25,4
Crested Guan,Penelope purpurascens,,95,35
Cauca Guan,Penelope perspicax,,55,10
White-winged Guan,Penelope albipennis,,20,9
Spix's Guan,Penelope jacquacu,,61,188
Dusky-legged Guan,Penelope obscura,,85,12
Yungas Guan,Penelope bridgesi,,32,12
White-crested Guan,Penelope pileata,,13,2
Chestnut-bellied Guan,Penelope ochrogaster,,12,0
White-browed Guan,Penelope jacucaca,,3,2
Trinidad Piping Guan,Pipile pipile,,1,0
Blue-throated Piping Guan,Pipile cumanensis,,46,61
Red-throated Piping Guan,Pipile cujubi,,15,4
Black-fronted Piping Guan,Pipile jacutinga,,12,0
Wattled Guan,Aburria aburri,,77,31
Black Guan,Chamaepetes unicolor,,6,0
Sickle-winged Guan,Chamaepetes goudotii,,44,3
Highland Guan,Penelopina nigra,,40,67
Horned Guan,Oreophasis derbianus,,16,7
Nocturnal Curassow,Nothocrax urumutum,,25,2
Crestless Curassow,Mitu tomentosum,,23,2
Salvin's Curassow,Mitu salvini,,23,0
Razor-billed Curassow,Mitu tuberosum,,39,72
Alagoas Curassow,Mitu mitu,,0,0
Helmeted Curassow,Pauxi pauxi,,8,0
Horned Curassow,Pauxi unicornis,,0,0
Sira Curassow,Pauxi koepckeae,,7,0
Great Curassow,Crax rubra,,31,2
Blue-billed Curassow,Crax alberti,,28,0
Yellow-knobbed Curassow,Crax daubentoni,,6,0
Black Curassow,Crax alector,,25,2
Wattled Curassow,Crax globulosa,,12,3
Bare-faced Curassow,Crax fasciolata,,64,8
Red-billed Curassow,Crax blumenbachii,,15,1
